Name,Type,Grade,Rating,Location,,,,,,,
I: Ledges,Boulder,V-easy,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>A: Air Jordy Boulder,,,,,,,
Lyman's Project,Boulder,V-easy,3,west virginia>bozoo>bozoo bouldering>project area>Lyman's Boulder,,,,,,,
Zugzwang Direct Project,Boulder,V-easy,3,west virginia>bozoo>bozoo bouldering>project area>Lyman's Boulder,,,,,,,
Zugzwang left Project,Boulder,V-easy,3,west virginia>bozoo>bozoo bouldering>project area>Lyman's Boulder,,,,,,,
Golf Course,Boulder,V-easy,1.5,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
Zig,Boulder,V0,1,west virginia>Barboursville Park,,,,,,,
It's All Ogre Now,Boulder,V0,2,west virginia>Bear Haven,,,,,,,
Mystery R,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>B: Mystery Boulder,,,,,,,
Mystery Warm Up,Boulder,V0,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>B: Mystery Boulder,,,,,,,
"Downclimb, The",Boulder,V0,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>G:Alligator Skin Boulder,,,,,,,
Warm-up Crack,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>H: Flow Boulder,,,,,,,
Front Slab R,Boulder,V0,2,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C4: Front Slabs,,,,,,,
Warm up L,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>downstream boulderfield>talus area>C5: Warm Up Boulder,,,,,,,
RE Slab,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Roadisde Euphoria Boulder,,,,,,,
Square Dance,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>entryway boulders>roadside>Roadisde Euphoria Boulder,,,,,,,
I. Standard Southern Mantle,Boulder,V0,2,west virginia>bozoo>bozoo bouldering>main area bouldering>A: Pocket Boulder,,,,,,,
Dugout Arete,Boulder,V0,1.5,west virginia>bozoo>bozoo bouldering>main area bouldering>C. The Dugout,,,,,,,
Dugout Easy Ones,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>main area bouldering>C. The Dugout,,,,,,,
"Crown Arete, The",Boulder,V0,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>D. The Crown,,,,,,,
"Crown, The",Boulder,V0,3,west virginia>bozoo>bozoo bouldering>main area bouldering>D. The Crown,,,,,,,
Blok Slab Left,Boulder,V0,2.5,west virginia>bozoo>bozoo bouldering>main area bouldering>E. The Blok,,,,,,,
Blok Slab Right,Boulder,V0,2,west virginia>bozoo>bozoo bouldering>main area bouldering>E. The Blok,,,,,,,
Firepole Warm-Up 2,Boulder,V0,1,west virginia>bozoo>bozoo bouldering>main area bouldering>F. Firepole Boulder,,,,,,,
Streamside Traverse,Boulder,V0,4,west virginia>bozoo>bozoo bouldering>project area>Streamside Boulder I,,,,,,,
Corner Pocket,Boulder,V0,2,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Metro,Boulder,V0,2,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Subway,Boulder,V0,2,west virginia>coopers rock state forest>haystack area>Motorcycle Rocks,,,,,,,
Trailside Overhang,Boulder,V0,2,west virginia>coopers rock state forest>McCollum Nature Trail Area,,,,,,,
"Bottom Line, The",Boulder,V0,2,west virginia>coopers rock state forest>roadside>sunset wall area>Sunset Wall,,,,,,,
Lighting Crack,Boulder,V0,2,west virginia>coopers rock state forest>roadside>Tendon Repair Kit Area,,,,,,,
Second Fiddle,Boulder,V0,1,west virginia>coopers rock state forest>tilted tree>Fiddle Area,,,,,,,
Broken Crack,Boulder,V0,2.5,west virginia>coopers rock state forest>tilted tree>First Wall,,,,,,,
Wang Gang,Boulder,V0,2.5,west virginia>coopers rock state forest>tilted tree>Moby's Dick Area,,,,,,,
One Bagger,Boulder,V0,1.5,west virginia>coopers rock state forest>tilted tree>Tilted Tree Corridor,,,,,,,
